rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Nolan Traore,Bro,*,G,19.6,18,16.4,17.7,18.7,9,0.778,47,0.383,48,0.25,0.379,0.399,4.4,1.1,2.5,0.4,0.3,1.2,5.5,6.9,8,5.6,86.5,113.7,2025-2026
,Kon Knueppel,Cha,*,G-F,20.5,39,32.5,22.2,14.3,107,0.888,220,0.559,315,0.425,0.606,0.638,19.1,5.1,3.6,0.7,0.2,2.3,24.2,22.6,27.7,8.7,121.8,113.6,2025-2026
,Miles Bridges,Cha,*,F,27.8,39,33.4,23.6,8.6,162,0.846,333,0.532,270,0.333,0.517,0.564,19.5,6.4,3.7,0.5,0.5,1.5,25.9,23.2,29.6,9.3,119.7,114.7,2025-2026
,Ryan Kalkbrenner,Cha,*,C,24,28,25.1,10.9,18.6,49,0.735,129,0.791,2,0,0.779,0.787,8.6,6.3,0.6,0.6,1.8,1.1,14.9,9.1,15.4,5.1,143.1,112.9,2025-2026
,Brandon Miller,Cha,*,F,23.1,23,29.8,29.1,13,85,0.824,200,0.45,181,0.348,0.484,0.525,19.1,4.3,3.4,1,1,2.5,23.4,22.5,26.8,8.8,106,110.6,2025-2026
,LaMelo Ball,Cha,*,G,24.4,30,27.9,32.6,16.7,90,0.878,235,0.468,273,0.37,0.515,0.55,20.1,5.2,7.7,1.2,0.2,3.4,25.2,27.8,32.9,13.3,113.3,108.7,2025-2026
,Collin Sexton,Cha,*,G,27,31,23.9,25.8,18.2,132,0.871,219,0.53,105,0.39,0.548,0.615,15.2,2.1,4.1,0.8,0.2,2.3,17.2,19.3,21.4,8.5,118.9,113.8,2025-2026
,Sion James,Cha,*,G,23.1,40,25.6,10.5,14.4,65,0.862,76,0.447,119,0.378,0.521,0.579,6.5,3.4,1.9,0.6,0.4,0.8,9.9,8.4,11.8,5.4,120.5,114.3,2025-2026
,Moussa Diabate,Cha,*,F,24,37,24.3,12.3,14.4,111,0.667,184,0.62,0,0,0.62,0.649,8.2,8.4,1.5,0.8,1,0.8,16.6,9.6,18.1,7.7,142.6,107.4,2025-2026
,Tidjane Salaun,Cha,*,F,20.4,25,16.7,14.9,13.9,27,0.704,55,0.582,62,0.419,0.607,0.625,6.4,4.2,0.9,0.4,0.2,0.8,10.7,7.3,11.6,6.9,119.5,108.3,2025-2026
,Tre Mann,Cha,*,G,24.9,26,17.6,24.1,14.5,17,0.882,105,0.429,112,0.321,0.456,0.474,8.2,2.5,2.3,0.5,0.1,1.4,10.7,10.5,13,8.2,99.1,109.8,2025-2026
